INCIDENT_CAUSE,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,LOSS_EVENT_DAYS,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV,START_DATE,EXPIRY_DATE,EXPIRY_DAYS,INITIAL_ODOMETER,LOW_MILEAGE_USE,GENDER,BIRTHDATE,DRIVERS_LICENSE_EXPIRY,DATE_AT_CURRENT_ADDRESS,COMMUTE_DISCOUNT,SUSPICIOUS_CLAIM_TIME,SUSPICIOUS_CLAIM_FLAG,DL_EXPIRED,EXCESSIVE_CLAIM_AMOUNT
2,1,165363.7,2018-01-23,23,2018-01-24,1,4,41.88470505,-87.66704583,23483,1,2017-04-23,2018-04-23,113,159408,0,M,1979-06-05,2021-11-26,2006-09-18,0,90,0,0,1
5,3,240639.2,2016-12-01,336,2016-12-10,1,1,41.73618257,-87.64365982,2173.5,0,2015-08-20,2016-08-19,232,228228,0,M,1962-01-04,2020-09-09,1999-05-16,0,-104,1,0,0
4,3,388591.3,2017-07-12,193,2017-07-12,1,1,41.76203035,-87.61169575,1750,0,2016-04-17,2017-04-17,107,379584,0,M,1980-12-17,2021-03-10,2008-02-12,0,-86,1,0,0
1,1,59498.7,2016-01-06,6,2016-01-08,1,1,42.00642207,-87.67812041,20310,1,2015-04-18,2016-04-17,108,57024,0,M,1992-11-14,2021-01-22,2006-11-01,0,102,0,0,1
1,3,94043.6,2018-10-13,286,2018-10-25,0,1,41.81360176,-87.704338,2810,0,2017-10-01,2018-10-01,274,81624,0,M,1981-08-07,2019-10-07,2001-03-12,0,-12,1,0,0
4,3,69305.4,2017-07-19,200,2017-07-19,1,1,41.9969237,-87.80694519,2370,0,2016-03-06,2017-03-06,65,58644,0,M,1935-04-22,2021-10-25,2000-01-07,0,-135,1,0,0
5,3,207764.4,2018-11-04,308,2018-11-13,0,1,41.95222752,-87.72742482,1320,0,2017-01-14,2018-01-14,14,206640,0,F,1936-02-18,2019-05-16,2005-05-05,0,-294,1,0,0
5,1,302710,2017-05-31,151,2017-06-12,0,5,41.9768951,-87.69227967,30840,1,2016-04-04,2017-04-04,94,301680,0,F,1952-04-15,2019-04-28,2012-11-27,0,-57,1,0,1
4,3,109080,2017-03-01,60,2017-03-13,0,3,41.88078079,-87.73023238,1230.5,0,2016-05-20,2017-05-20,140,101292,0,F,1988-09-12,2018-12-08,2015-08-19,0,80,0,0,0
4,3,69640.2,2018-09-05,248,2018-09-11,0,1,41.89275285,-87.76070937,1020,0,2017-07-11,2018-07-11,192,57780,0,F,1948-06-08,2021-11-10,2014-07-18,0,-56,1,0,0
2,2,281332.9,2018-12-14,348,2018-12-19,1,1,41.9383457,-87.71230667,2470,0,2017-05-17,2018-05-17,137,276972,0,F,1965-07-23,2020-10-18,2010-04-21,0,-211,1,0,0
1,1,176864.1,2016-07-14,196,2016-07-25,0,2,41.90643022,-87.64830557,31020,1,2015-08-23,2016-08-22,235,169824,0,F,1948-08-09,2020-03-12,2002-11-22,0,39,0,0,1
3,3,223253.6,2018-11-26,330,2018-11-30,0,1,41.89078197,-87.63125181,1890,0,2017-02-08,2018-02-08,39,212976,0,F,1942-04-03,2020-09-09,2011-06-01,0,-291,1,0,0
3,3,139853.9,2018-07-20,201,2018-07-20,0,1,41.89244415,-87.63720038,1932,0,2017-08-03,2018-08-03,215,134940,0,M,1997-10-14,2018-07-09,2013-08-27,0,14,0,1,0
1,3,210844.5,2016-09-24,268,2016-09-26,0,1,41.8181867,-87.7433186,1730,0,2015-07-25,2016-07-24,206,199452,0,M,1995-11-08,2021-09-17,2000-01-03,0,-62,1,0,0
2,3,282275.4,2016-08-06,219,2016-08-20,0,3,41.88241054,-87.63721144,2170,0,2015-09-15,2016-09-14,258,276624,0,F,1981-01-19,2018-05-20,2008-09-15,0,39,0,0,0
1,1,224281.5,2017-12-27,361,2017-12-29,1,2,41.93136196,-87.72315142,20380,1,2016-06-27,2017-06-27,178,222168,0,M,1937-06-15,2020-02-11,2008-09-07,0,-183,1,0,1
5,1,246553.7,2017-10-07,280,2017-10-10,1,1,41.81920073,-87.68457036,36190,1,2016-03-16,2017-03-16,75,245400,0,F,1939-04-20,2020-11-03,2006-02-09,0,-205,1,0,1
3,1,193096,2018-03-30,89,2018-03-30,1,1,41.90191323,-87.70164516,27370,1,2017-05-25,2018-05-25,145,188184,0,F,1963-08-31,2021-04-22,2007-03-13,0,56,0,0,1
2,3,68251,2016-02-27,58,2016-03-02,0,1,41.88332815,-87.62846744,2280,0,2015-06-22,2016-06-21,173,61920,1,M,1980-05-18,2020-08-25,2009-07-22,0,115,0,0,0
1,3,163689.5,2017-12-28,362,2018-01-09,0,3,41.84415759,-87.72469381,2360,0,2016-05-27,2017-05-27,147,163044,0,F,1954-02-04,2020-10-22,2007-11-10,1,-215,1,0,0
5,1,434090,2018-04-10,100,2018-04-14,1,1,41.68942688,-87.65875179,34490,1,2017-06-05,2018-06-05,156,432000,0,M,1947-03-26,2020-04-10,1999-01-04,0,56,0,0,1
3,1,40609.9,2017-04-27,117,2017-05-10,1,1,42.0004435,-87.66085935,30350,1,2016-03-25,2017-03-25,84,28386,1,F,1992-11-21,2021-10-24,2012-09-02,0,-33,1,0,1
3,1,241219.8,2016-04-27,118,2016-05-05,1,3,41.86730472,-87.64397388,27310,1,2015-09-20,2016-09-19,263,234144,0,M,1936-02-03,2019-01-07,2017-07-21,0,145,0,0,1
1,1,243194.9,2016-07-04,186,2016-07-07,1,3,41.93457199,-87.78566027,25210,1,2015-10-21,2016-10-20,294,233424,0,F,1949-03-27,2021-12-20,1999-02-06,0,108,0,0,1
5,2,50221.6,2018-12-07,341,2018-12-10,1,1,41.89506294,-87.7530869,2950,0,2017-03-26,2018-03-26,85,36720,0,F,1941-03-02,2018-06-01,2008-09-13,0,-256,1,1,0
2,3,347421,2016-09-18,262,2016-09-29,0,1,41.86252459,-87.64213178,1210,0,2015-05-19,2016-05-18,139,339984,0,M,1980-06-28,2018-12-21,2010-06-18,0,-123,1,0,0
5,1,93436.3,2017-11-07,311,2017-11-21,1,1,41.77455256,-87.68336926,19340,1,2016-05-21,2017-05-21,141,84348,0,M,1986-01-18,2020-03-31,1999-07-27,0,-170,1,0,1
1,3,42931.6,2017-05-26,146,2017-06-02,0,3,41.89679903,-87.70315361,2560,0,2016-03-27,2017-03-27,86,40212,0,F,1958-01-06,2018-10-23,2016-05-25,0,-60,1,0,0
1,3,86881.4,2017-11-24,328,2017-12-02,0,1,41.88770538,-87.62058814,2550,0,2016-04-03,2017-04-03,93,79524,0,M,1936-06-01,2019-04-08,1999-04-23,0,-235,1,0,0
2,3,47333.9,2018-10-01,274,2018-10-01,0,1,41.70344854,-87.68138191,1350,0,2017-07-01,2018-07-01,182,37872,0,F,1973-07-12,2018-12-02,2005-03-25,0,-92,1,0,0
3,3,245549,2018-03-20,79,2018-03-24,0,4,41.92834542,-87.6684029,1180,0,2017-06-02,2018-06-02,153,232920,0,M,1961-10-11,2019-11-13,2007-01-25,0,74,0,0,0
5,1,45802.6,2017-01-26,26,2017-02-04,0,1,41.80107195,-87.58174032,34994.5,1,2016-07-17,2017-07-17,198,44904,0,M,1969-07-22,2018-12-10,2007-06-27,0,172,0,0,1
5,3,251473.2,2016-11-17,322,2016-11-18,0,1,41.8776941,-87.75352928,16680,0,2015-08-19,2016-08-18,231,238752,0,M,1971-05-04,2019-09-06,2015-08-11,0,-91,1,0,1
3,1,45797.8,2017-05-26,146,2017-06-05,1,3,42.00830436,-87.67818538,14480,1,2016-07-14,2017-07-14,195,42864,0,F,1988-09-10,2021-05-02,2015-01-09,0,49,0,0,1
1,3,88939.1,2016-11-28,333,2016-12-02,1,1,41.93064372,-87.68536822,1817,0,2015-01-22,2016-01-22,22,77328,0,M,1947-01-20,2020-09-28,2002-08-07,0,-311,1,0,0
1,3,255525.6,2018-07-12,193,2018-07-15,0,1,41.96457585,-87.74287565,2780,0,2017-06-24,2018-06-24,175,254364,0,F,1980-08-22,2019-07-01,2000-01-13,0,-18,1,0,0
3,3,262087.5,2016-02-07,38,2016-02-20,1,1,41.69954742,-87.64275192,2480,0,2015-09-26,2016-09-25,269,251424,0,F,1972-04-22,2020-06-28,2016-08-09,0,231,0,0,0
5,3,356670.1,2018-05-06,126,2018-05-17,0,1,41.72258206,-87.57504199,1173,0,2017-07-18,2018-07-18,199,348132,0,F,1958-03-17,2020-06-28,2014-08-08,0,73,0,0,0
1,1,248401.6,2017-09-30,273,2017-10-09,0,1,41.73153777,-87.58567864,21920,1,2016-05-21,2017-05-21,141,242628,0,F,1969-03-23,2019-03-03,2003-08-26,0,-132,1,0,1
3,1,247662.7,2018-03-13,72,2018-03-13,1,2,41.89713934,-87.7361474,33080,1,2017-01-16,2018-01-16,16,237732,0,M,1975-07-18,2019-05-21,2007-08-10,0,-56,1,0,1
4,3,201218.5,2017-04-15,105,2017-04-24,0,1,41.73600895,-87.65571261,1510,0,2016-05-13,2017-05-13,133,198636,0,M,1988-04-03,2021-10-04,2016-08-27,0,28,0,0,0
2,1,77539.8,2018-02-26,57,2018-03-11,1,1,41.9471065,-87.68811976,35920,1,2017-04-05,2018-04-05,95,66900,0,F,1988-08-01,2018-06-12,2008-04-22,0,38,0,0,1
5,1,414306.8,2018-01-19,19,2018-02-01,0,1,41.9140602,-87.74602773,20230,1,2017-04-22,2018-04-22,112,400860,0,M,1944-05-31,2021-02-05,2004-06-13,0,93,0,0,1
2,3,149077.6,2016-11-08,313,2016-11-08,0,1,41.88579694,-87.64570081,2170,0,2015-10-14,2016-10-13,287,136728,0,M,1971-05-16,2019-10-09,2017-09-25,0,-26,1,0,0
5,1,325260.6,2016-09-28,272,2016-10-04,0,1,41.8912077,-87.64893961,34200,1,2015-02-08,2016-02-08,39,313728,0,M,1964-02-25,2021-05-10,2017-07-14,0,-233,1,0,1
1,3,34151.1,2016-10-31,305,2016-11-14,0,1,41.87195364,-87.76334923,2277,0,2015-10-04,2016-10-03,277,32148,1,M,1989-04-29,2018-10-19,2006-06-15,0,-28,1,0,0
1,3,349263.8,2018-05-28,148,2018-06-03,0,1,41.90080611,-87.61972396,2850,0,2017-11-02,2018-11-02,306,339120,0,M,1985-10-02,2018-11-19,2000-06-06,0,158,0,0,0
1,3,58439.6,2016-01-12,12,2016-01-20,0,1,41.81674857,-87.61646799,1550,0,2015-01-10,2016-01-10,10,54072,0,F,2001-07-11,2018-03-24,2004-02-15,0,-2,1,0,0
2,3,70700.8,2017-05-19,139,2017-06-01,0,1,41.72984108,-87.60480693,1450,0,2016-09-05,2017-09-05,248,55728,0,F,1993-11-06,2018-07-03,2014-10-05,0,109,0,0,0
1,1,63610.2,2017-11-26,330,2017-12-01,0,1,41.86347978,-87.68928558,31450,1,2017-03-20,2018-03-20,79,57456,0,M,1956-01-11,2018-07-23,2003-05-15,0,-251,1,0,1
2,1,371183.8,2016-08-26,239,2016-09-01,1,5,41.84714751,-87.64633938,13100,1,2015-10-03,2016-10-02,276,370656,0,M,1974-12-18,2019-07-24,2017-03-23,0,37,0,0,1
2,3,67792.3,2016-10-12,286,2016-10-20,0,1,41.81679293,-87.59494802,1490,0,2015-02-01,2016-02-01,32,61488,0,M,1946-12-12,2020-07-05,2005-10-16,1,-254,1,0,0
3,3,444121.7,2017-04-04,94,2017-04-12,1,1,41.87409237,-87.66647809,1110,0,2016-04-25,2017-04-25,115,436392,0,F,1988-12-22,2021-09-20,2010-01-16,0,21,0,0,0
2,1,76181.7,2018-04-19,109,2018-05-02,1,1,41.92512769,-87.66204067,19676.5,1,2017-03-25,2018-03-25,84,66324,0,F,1945-02-05,2021-08-18,2005-02-08,0,-25,1,0,1
4,1,346425.5,2016-02-29,60,2016-03-09,0,1,41.77965209,-87.65942423,24713.5,1,2015-08-25,2016-08-24,237,344520,0,F,1967-08-11,2018-09-06,2000-11-17,1,177,0,0,1
2,3,174227.7,2017-02-16,47,2017-02-17,0,3,41.84665185,-87.64791126,2150,0,2016-10-04,2017-10-04,277,161700,0,M,1973-11-16,2018-10-09,2013-03-06,0,230,0,0,0
2,3,148301.5,2018-06-01,152,2018-06-14,0,1,41.78487905,-87.69491794,2000,0,2017-08-13,2018-08-13,225,138312,0,F,1963-10-29,2020-05-28,2004-06-20,0,73,0,0,0
3,3,199855.1,2017-10-28,301,2017-11-03,0,2,41.96134343,-87.69835838,1630,0,2016-04-12,2017-04-12,102,187572,0,M,1977-10-27,2021-05-17,2014-04-02,0,-199,1,0,0
1,3,234182.9,2018-11-28,332,2018-12-06,0,1,41.88222375,-87.75809921,1330,0,2017-10-16,2018-10-16,289,225132,0,M,1990-09-26,2020-03-29,1999-05-26,0,-43,1,0,0
3,3,142857.4,2018-08-09,221,2018-08-14,0,2,41.83105838,-87.61678193,1170,0,2017-07-07,2018-07-07,188,138252,0,M,1979-10-05,2018-01-16,2007-06-16,0,-33,1,1,0
4,1,74820.6,2017-11-25,329,2017-12-06,1,3,41.93506582,-87.71742429,16480,1,2016-03-03,2017-03-03,62,73644,0,F,1939-09-05,2020-11-19,2014-02-17,0,-267,1,0,1
5,1,126227,2017-07-30,211,2017-08-13,1,1,41.92027338,-87.78031813,30230,1,2016-04-11,2017-04-11,101,117348,0,M,1970-12-21,2020-04-30,2015-09-04,0,-110,1,0,1
1,3,66583.4,2018-09-14,257,2018-09-25,1,1,41.89089442,-87.62019212,2090,0,2017-01-27,2018-01-27,27,57252,0,M,1987-11-20,2021-02-11,2006-01-23,0,-230,1,0,0
1,3,165993.5,2017-10-05,278,2017-10-15,1,1,41.99767708,-87.69924898,1320,0,2016-10-19,2017-10-19,292,159018,1,M,1950-03-28,2019-08-04,2000-06-22,0,14,0,0,0
3,1,251135.4,2018-08-27,239,2018-09-05,1,5,41.90809991,-87.63476376,41320,1,2017-01-02,2018-01-02,2,240588,0,M,2000-05-18,2018-07-29,2002-07-16,0,-237,1,1,1
3,1,240903.7,2018-03-06,65,2018-03-12,0,2,41.77775486,-87.65066077,31740,1,2017-08-15,2018-08-15,227,236016,0,M,1945-07-20,2018-04-18,2001-11-20,0,162,0,0,1
5,1,434497.7,2017-07-10,191,2017-07-21,1,1,41.90359031,-87.65921321,33400,1,2016-09-11,2017-09-11,254,425172,0,F,1989-04-19,2021-05-20,2003-07-08,0,63,0,0,1
3,1,364482.8,2017-03-28,87,2017-03-28,1,1,41.88411405,-87.61476242,30080,1,2016-10-04,2017-10-04,277,357480,0,M,1987-05-17,2021-08-31,2005-08-07,1,190,0,0,1
4,3,69086.7,2017-09-07,250,2017-09-13,1,1,41.97240949,-87.75397937,2460,0,2016-02-19,2017-02-18,49,59616,0,M,1942-05-21,2019-09-11,2009-10-03,1,-201,1,0,0
5,1,79847.5,2018-01-24,24,2018-01-25,0,1,41.88993991,-87.6341743,14770,1,2017-06-18,2018-06-18,169,75660,0,F,1939-01-22,2019-08-28,2003-04-20,0,145,0,0,1
4,3,113022.1,2018-09-11,254,2018-09-22,1,1,41.83359679,-87.72413311,1780,0,2017-08-15,2018-08-15,227,100980,0,F,1995-03-20,2018-04-30,2007-10-01,0,-27,1,1,0
4,3,76872.2,2018-06-20,171,2018-07-04,0,1,41.74429685,-87.58522947,1820,0,2017-02-10,2018-02-10,41,65760,0,F,1988-11-23,2021-06-18,2008-08-05,0,-130,1,0,0
3,1,219131.7,2018-11-08,312,2018-11-12,1,1,41.76400271,-87.71489464,24750,1,2017-05-07,2018-05-07,127,217608,0,F,1998-11-16,2020-11-02,2008-11-10,0,-185,1,0,1
5,1,232789,2017-03-20,79,2017-04-02,0,1,41.88091068,-87.62550911,23960,1,2016-03-13,2017-03-13,72,230628,0,F,1999-08-22,2018-04-21,2010-09-09,1,-7,1,0,1
2,3,142498.4,2017-04-23,113,2017-05-02,0,1,41.76866087,-87.58787755,2410,0,2016-03-04,2017-03-04,63,136404,0,F,1979-01-15,2019-01-14,2003-07-26,0,-50,1,0,0
3,3,105292.9,2016-05-11,132,2016-05-25,0,1,41.86259342,-87.68577824,2840,0,2015-04-16,2016-04-15,106,94980,0,M,1985-02-15,2021-02-15,2016-02-23,1,-26,1,0,0
1,1,167780.9,2016-12-08,343,2016-12-20,1,3,41.92365236,-87.63989337,20033,1,2015-10-03,2016-10-02,276,155148,0,F,1996-03-31,2020-07-27,2015-02-15,0,-67,1,0,1
1,1,151474.3,2016-01-21,21,2016-01-27,1,1,41.88036512,-87.7633382,16760,1,2015-02-10,2016-02-10,41,143856,0,M,1935-03-04,2019-01-23,2010-01-26,0,20,0,0,1
5,3,246782,2016-09-09,253,2016-09-11,0,1,41.91571189,-87.70218517,1370,0,2015-02-12,2016-02-12,43,238464,0,M,1980-01-14,2020-11-19,1999-07-03,0,-210,1,0,0
5,3,144581.9,2017-03-28,87,2017-04-10,0,3,41.90044127,-87.68436645,2610.5,0,2016-11-25,2017-11-25,329,129780,1,M,1983-05-03,2020-06-22,2014-02-22,0,242,0,0,0
4,3,80003.2,2017-02-20,51,2017-02-27,1,1,41.94522873,-87.81440018,2620,0,2016-09-10,2017-09-10,253,74256,0,M,1981-04-27,2020-02-07,2015-05-14,0,202,0,0,0
5,1,145010.7,2017-04-12,102,2017-04-23,1,1,41.83713685,-87.70467361,17664,1,2016-05-18,2017-05-18,138,141204,0,M,1992-10-27,2018-11-24,2005-04-26,0,36,0,0,1
5,3,185685.9,2016-03-04,64,2016-03-14,0,1,41.90953467,-87.74596768,1510,0,2015-11-12,2016-11-11,316,184224,0,M,1975-01-29,2018-07-09,1999-04-12,0,252,0,0,0
4,1,176372.9,2016-01-23,23,2016-01-31,1,2,41.76915305,-87.66378819,36010,1,2015-01-16,2016-01-16,16,171360,0,F,1949-11-27,2020-12-19,2016-06-02,0,-7,1,0,1
5,3,100102.6,2017-05-22,142,2017-05-23,0,1,41.73686159,-87.5974451,2250,0,2016-02-12,2017-02-11,42,97344,0,F,1977-05-23,2021-12-04,2008-08-06,0,-100,1,0,0
2,3,201913.9,2017-02-07,38,2017-02-18,1,1,41.69645644,-87.61548066,1530,0,2016-01-25,2017-01-24,24,192936,0,M,1986-09-28,2018-09-03,2000-04-15,0,-14,1,0,0
5,1,77746.1,2018-06-01,152,2018-06-06,1,1,42.00561454,-87.70917153,26320,1,2017-11-10,2018-11-10,314,65664,1,M,1966-10-30,2020-06-30,2002-03-15,0,162,0,0,1
3,1,140478.8,2017-11-10,314,2017-11-19,1,1,41.91638706,-87.64104135,33730,1,2016-08-11,2017-08-11,223,131952,0,M,1961-01-24,2018-10-11,2015-02-27,0,-91,1,0,1
1,3,80833.4,2016-03-14,74,2016-03-14,0,1,41.75466012,-87.74138476,2980,0,2015-08-19,2016-08-18,231,68724,0,F,1995-01-04,2019-04-01,2013-05-09,0,157,0,0,0
4,1,156166.4,2016-07-07,189,2016-07-07,1,1,41.90061438,-87.6373528,17050,1,2015-09-21,2016-09-20,264,148428,0,F,1964-08-24,2020-03-01,2011-01-08,0,75,0,0,1
5,1,230213.9,2016-03-12,72,2016-03-21,0,3,41.7359383,-87.62977539,37290,1,2015-08-24,2016-08-23,236,223080,0,M,1938-10-07,2020-02-14,1999-01-03,0,164,0,0,1
2,3,59188.4,2016-06-19,171,2016-06-23,0,1,41.81754255,-87.69027516,2780,0,2015-07-08,2016-07-07,189,46152,0,F,1944-10-15,2018-09-29,2015-03-20,0,18,0,0,0
2,3,63779,2017-06-15,166,2017-06-21,0,3,41.98552593,-87.66137411,2890,0,2016-01-03,2017-01-02,2,61008,0,F,1962-08-08,2018-04-05,2008-11-15,0,-164,1,0,0
3,3,229155.5,2018-08-19,231,2018-08-24,0,1,41.88327121,-87.64507535,1590,0,2017-02-11,2018-02-11,42,220464,0,M,1977-01-08,2021-11-17,1999-05-25,0,-189,1,0,0
1,3,71230.1,2017-10-29,302,2017-11-06,0,1,41.77804765,-87.61571724,1860,0,2016-10-06,2017-10-06,279,61200,0,F,1982-02-17,2019-07-13,2009-07-20,1,-23,1,0,0
2,3,261551.4,2018-01-10,10,2018-01-18,0,1,41.77029026,-87.72240132,2702.5,0,2017-04-07,2018-04-07,97,260916,0,F,1974-04-09,2019-03-30,2013-07-18,0,87,0,0,0
2,3,257197.1,2017-02-02,33,2017-02-11,0,1,41.69494895,-87.64231341,1850,0,2016-07-16,2017-07-16,197,255036,0,F,1981-10-18,2019-06-27,2004-06-22,0,164,0,0,0
2,3,104793.7,2018-07-07,188,2018-07-21,0,1,41.71423312,-87.64285698,2420,0,2017-10-25,2018-10-25,298,99120,0,M,1938-04-20,2019-01-30,2001-08-10,0,110,0,0,0
5,3,320678.5,2018-03-07,66,2018-03-11,0,1,41.97127601,-87.68914308,2430,0,2017-10-18,2018-10-18,291,309120,0,M,1941-03-24,2020-11-18,2014-07-12,0,225,0,0,0
2,3,90598.9,2016-12-03,338,2016-12-12,1,1,41.89451634,-87.71887163,14360,0,2015-06-15,2016-06-14,166,86544,0,F,1938-09-10,2020-10-10,2016-09-16,0,-172,1,0,1
5,3,214386.8,2016-02-21,52,2016-02-25,0,1,41.75331874,-87.73006973,1080,0,2015-10-24,2016-10-23,297,208200,0,M,1979-09-29,2021-04-01,2013-11-12,0,245,0,0,0
4,3,51278.6,2018-11-27,331,2018-12-08,1,1,41.9062753,-87.75820516,2170,0,2017-02-01,2018-02-01,32,40128,1,M,1954-07-22,2019-07-15,2001-02-10,0,-299,1,0,0
2,3,47082.7,2016-05-28,149,2016-06-06,0,1,41.87384723,-87.68608757,2290,0,2015-07-22,2016-07-21,203,41928,0,M,1957-03-11,2021-03-03,2015-05-19,0,54,0,0,0
3,3,46993.7,2018-08-18,230,2018-08-25,1,1,41.87457106,-87.63501396,15440,0,2017-05-26,2018-05-26,146,41988,0,M,1968-10-22,2021-01-09,2016-08-27,1,-84,1,0,1
1,1,49307.9,2018-09-14,257,2018-09-21,1,1,41.97985841,-87.65522996,21160,1,2017-05-02,2018-05-02,122,38832,0,M,1983-12-28,2020-01-25,2016-02-22,0,-135,1,0,1
5,3,257546.5,2018-10-06,279,2018-10-10,0,1,41.87677249,-87.64778829,2320,0,2017-01-16,2018-01-16,16,256776,0,M,2001-06-07,2020-09-25,2015-09-25,0,-263,1,0,0
5,1,140259.4,2016-02-08,39,2016-02-21,0,1,41.85584468,-87.68341968,29083.5,1,2015-03-18,2016-03-17,77,131472,0,F,1988-08-27,2019-04-14,2004-05-18,0,38,0,0,1
4,3,359871.4,2016-10-19,293,2016-10-27,0,3,41.70629866,-87.68846006,3105,0,2015-04-05,2016-04-04,95,348228,0,M,1975-04-14,2021-05-08,2002-06-13,0,-198,1,0,0
3,1,185755,2017-03-01,60,2017-03-13,0,4,41.75341322,-87.69781793,17590,1,2016-06-18,2017-06-18,169,176472,0,M,1991-05-26,2019-12-30,2016-07-10,0,109,0,0,1
